customer_id,full_name,birth_date,gender,marital_status,occupation,education_level,income_range,religion,country,province,city,area_type,climate_zone,lifestyle_segment,interests,personal_values,brand_loyalty_score,purchase_frequency,last_purchase_date,avg_order_value,total_orders,preferred_channel,benefits_sought,feedback_score,age,generasi
CUST0001,A** W*****,3/14/1988,Female,Single,"Production designer, theatre/television/film",D3,5-10M,Katolik,Indonesia,DI Yogyakarta,Purwokerto,Rural,Tropis,Eco-conscious,"['Finance', 'Tech']","['Efficiency', 'Prestige']",4,Non-user,2025-11-27,"309,139",17,Offline,"['Estetika', 'Fungsi']",5,37,Millennial
CUST0002,E***** S******,3/30/2000,Male,Single,Professor Emeritus,SMA,>10M,Katolik,Indonesia,Banten,Kupang,Suburban,Dingin,Family-oriented,"['Parenting', 'Cooking']","['Sustainability', 'Community']",3,Light,2025-07-30,"1,695,262",14,Social Media,['Ramah Lingkungan'],2,25,Gen Z
CUST0003,C****** P*******,6/6/2003,Male,Married,Equality and diversity officer,SMA,<5M,Islam,Indonesia,Kalimantan Selatan,Kota Administrasi Jakarta Selatan,Rural,Tropis,Minimalist,"['Finance', 'Tech']","['Efficiency', 'Prestige']",6,Medium,2025-11-19,"1,028,552",16,Offline,['Hemat'],3,22,Gen Z
CUST0004,C**** S******,2/9/1985,Male,Married,"Therapist, nutritional",D3,>10M,Katolik,Indonesia,DI Yogyakarta,Bontang,Rural,Tropis,Luxury seeker,"['Finance', 'Tech']","['Efficiency', 'Prestige']",10,Light,2025-12-09,"2,145,693",18,App,['Hemat'],1,40,Millennial
CUST0005,S****** S********,5/29/1999,Male,Married,Operational researcher,D3,>10M,Budha,Indonesia,Jambi,Palembang,Suburban,Tropis,Family-oriented,"['Interior', 'Eco Living']","['Freedom', 'Minimalism']",8,Medium,2025-09-07,"2,060,548",21,Social Media,['Ramah Lingkungan'],4,26,Gen Z
CUST0006,C** M*** S*****,1/25/1997,Male,Single,Trade mark attorney,D3,>10M,Hindu,Indonesia,DKI Jakarta,Palembang,Suburban,Dingin,Family-oriented,"['Finance', 'Tech']","['Freedom', 'Minimalism']",10,Medium,2025-09-03,"953,311",22,Offline,['Ramah Lingkungan'],4,28,Millennial
CUST0007,I** R**** S******* M*****,12/2/1980,Male,Single,Architect,S1,5-10M,Kristen,Indonesia,Bali,Kediri,Suburban,Tropis,Minimalist,"['Parenting', 'Cooking']","['Efficiency', 'Prestige']",3,Heavy,2025-12-12,"363,862",12,Social Media,['Kualitas'],2,45,Gen X
CUST0008,I**** S******** S***,10/9/2005,Female,Married,Textile designer,D3,>10M,Kristen,Indonesia,Sumatera Utara,Parepare,Suburban,Dingin,Family-oriented,"['Interior', 'Eco Living']","['Family-first', 'Security']",1,Heavy,2025-10-09,"2,376,774",16,Social Media,['Kualitas'],2,20,Gen Z
CUST0009,L**** S******,8/21/2001,Female,Single,IT sales professional,S1,<5M,Hindu,Indonesia,Sulawesi Utara,Bekasi,Rural,Dingin,Minimalist,"['Travel', 'Fitness']","['Sustainability', 'Community']",7,Medium,2025-11-24,"2,235,525",23,Offline,"['Estetika', 'Fungsi']",3,24,Gen Z
CUST0010,N**** S******* S****,8/7/1983,Male,Single,Statistician,D3,5-10M,Katolik,Indonesia,Sulawesi Barat,Magelang,Rural,Dingin,Eco-conscious,"['Parenting', 'Cooking']","['Family-first', 'Security']",9,Light,2025-07-24,"2,106,950",19,App,['Kualitas'],1,42,Millennial
CUST0011,C****** W******,7/8/1995,Female,Married,"Scientist, audiological",S1,5-10M,Kristen,Indonesia,Kepulauan Bangka Belitung,Lubuklinggau,Urban,Dingin,Eco-conscious,"['Travel', 'Fitness']","['Sustainability', 'Community']",3,Light,2025-12-24,"2,058,923",16,Social Media,['Kualitas'],5,30,Millennial
CUST0012,K**** T********,1/30/1980,Male,Married,Writer,D3,5-10M,Hindu,Indonesia,Bengkulu,Padang Sidempuan,Rural,Dingin,Minimalist,"['Parenting', 'Cooking']","['Freedom', 'Minimalism']",8,Heavy,2025-12-10,"1,078,805",21,App,"['Estetika', 'Fungsi']",5,45,Gen X
CUST0013,E*** P**********,1/1/1997,Female,Single,"Conservator, museum/gallery",S2,>10M,Katolik,Indonesia,Bengkulu,Tual,Rural,Tropis,Eco-conscious,"['Parenting', 'Cooking']","['Efficiency', 'Prestige']",9,Non-user,2026-01-13,"582,495",21,Website,['Hemat'],5,29,Millennial
CUST0014,A******* U*****,11/3/1989,Male,Single,Transport planner,S2,<5M,Katolik,Indonesia,Sumatera Barat,Tanjungpinang,Suburban,Tropis,Family-oriented,"['Finance', 'Tech']","['Family-first', 'Security']",9,Non-user,2025-12-19,"2,213,840",23,App,['Kualitas'],5,36,Millennial
CUST0015,d** B****** P*******,3/7/1988,Male,Married,Clothing/textile technologist,S2,>10M,Budha,Indonesia,Aceh,Lhokseumawe,Suburban,Dingin,Luxury seeker,"['Parenting', 'Cooking']","['Freedom', 'Minimalism']",9,Light,2025-10-14,"1,770,704",23,Offline,"['Estetika', 'Fungsi']",2,37,Millennial
CUST0016,H* E***** A*******,1/14/1984,Male,Married,Radiation protection practitioner,D3,5-10M,Katolik,Indonesia,Lampung,Payakumbuh,Suburban,Tropis,Family-oriented,"['Interior', 'Eco Living']","['Family-first', 'Security']",6,Light,2025-10-16,"897,526",18,Social Media,"['Estetika', 'Fungsi']",3,42,Millennial
CUST0017,F******* R******,5/1/1988,Male,Single,Rural practice surveyor,S1,5-10M,Islam,Indonesia,Jawa Tengah,Purwokerto,Suburban,Dingin,Minimalist,"['Parenting', 'Cooking']","['Efficiency', 'Prestige']",4,Light,2025-12-08,"2,349,304",22,Offline,['Kualitas'],1,37,Millennial
CUST0018,W**** M*******,9/7/1984,Male,Single,"Geologist, engineering",D3,<5M,Kristen,Indonesia,Sulawesi Barat,Kota Administrasi Jakarta Utara,Urban,Tropis,Family-oriented,"['Interior', 'Eco Living']","['Family-first', 'Security']",2,Medium,2025-12-23,"261,658",17,Website,"['Estetika', 'Fungsi']",4,41,Millennial
